Train:   0%|                                                                                                                           | 0/7584 [00:00<?, ?it/s][INFO:swift] use_logits_to_keep: False
[WARNING:swift] The cross_entropy loss function defined in Liger Kernel will not take effect, potentially leading to increased GPU memory consumption.
Train:   1%|▋                                                                                                               | 50/7584 [03:18<8:14:40,  3.94s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-50
{'loss': 0.0923474, 'grad_norm': 0.18137206, 'learning_rate': 7e-07, 'token_acc': 0.70967884, 'epoch': 0.03, 'global_step/max_steps': '265/7584', 'percentage': '3.49%', 'elapsed_time': '18m 2s', 'remaining_time': '8h 18m 25s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.244741}
{'loss': 0.08687723, 'grad_norm': 0.17322911, 'learning_rate': 7.1e-07, 'token_acc': 0.7385921, 'epoch': 0.04, 'global_step/max_steps': '270/7584', 'percentage': '3.56%', 'elapsed_time': '18m 23s', 'remaining_time': '8h 18m 23s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.244583}
{'loss': 0.08816639, 'grad_norm': 0.16987713, 'learning_rate': 7.2e-07, 'token_acc': 0.7199016, 'epoch': 0.04, 'global_step/max_steps': '275/7584', 'percentage': '3.63%', 'elapsed_time': '18m 41s', 'remaining_time': '8h 16m 57s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.245124}
{'loss': 0.08503503, 'grad_norm': 0.1820243, 'learning_rate': 7.4e-07, 'token_acc': 0.72912786, 'epoch': 0.04, 'global_step/max_steps': '280/7584', 'percentage': '3.69%', 'elapsed_time': '19m 0s', 'remaining_time': '8h 15m 53s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.245482}
{'loss': 0.08803985, 'grad_norm': 0.19099414, 'learning_rate': 7.5e-07, 'token_acc': 0.73018319, 'epoch': 0.04, 'global_step/max_steps': '285/7584', 'percentage': '3.76%', 'elapsed_time': '19m 20s', 'remaining_time': '8h 15m 11s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.245661}
{'loss': 0.0880335, 'grad_norm': 0.185938, 'learning_rate': 7.6e-07, 'token_acc': 0.72762798, 'epoch': 0.04, 'global_step/max_steps': '290/7584', 'percentage': '3.82%', 'elapsed_time': '19m 39s', 'remaining_time': '8h 14m 18s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.245934}
{'loss': 0.08552379, 'grad_norm': 0.16509454, 'learning_rate': 7.8e-07, 'token_acc': 0.72833401, 'epoch': 0.04, 'global_step/max_steps': '295/7584', 'percentage': '3.89%', 'elapsed_time': '19m 58s', 'remaining_time': '8h 13m 28s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.246175}
{'loss': 0.08399116, 'grad_norm': 0.16517955, 'learning_rate': 7.9e-07, 'token_acc': 0.74336883, 'epoch': 0.04, 'global_step/max_steps': '300/7584', 'percentage': '3.96%', 'elapsed_time': '20m 18s', 'remaining_time': '8h 12m 56s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.246273}
Train:   5%|█████                                                                                                          | 350/7584 [23:43<8:05:02,  4.02s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-350
{'loss': 0.08405107, 'grad_norm': 0.1401941, 'learning_rate': 8e-07, 'token_acc': 0.73683977, 'epoch': 0.04, 'global_step/max_steps': '305/7584', 'percentage': '4.02%', 'elapsed_time': '20m 40s', 'remaining_time': '8h 13m 16s', 'memory(GiB)': 27.62, 'train_speed(iter/s)': 0.245941}
